id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-11-02 14:13:50,"{""short_code"":""rP4Z9h"",""original_url"":""https://seeded.app/opal/journey/1""}"
2,2,397,created,2026-01-19 04:11:00,"{""short_code"":""8mhA4y"",""original_url"":""https://opswise.net/proud/network/2""}"
3,3,52,created,2025-02-16 07:13:00,"{""short_code"":""7IyWOV"",""original_url"":""https://acme.dev/urban/meadow/3""}"
4,4,15,created,2025-02-02 11:43:00,"{""short_code"":""9Gbnlh"",""original_url"":""https://relay.cloud/urban/island/4""}"
5,5,152,created,2026-02-05 14:35:06,"{""short_code"":""eBJO6B"",""original_url"":""https://hackstack.io/cobalt/field/5""}"
6,6,94,created,2025-07-07 02:26:16,"{""short_code"":""Icbzhv"",""original_url"":""https://hackstack.io/proud/canyon/6""}"
7,7,379,created,2025-10-05 05:29:57,"{""short_code"":""O30Ku6"",""original_url"":""https://acme.dev/lively/harvest/7""}"
8,8,23,created,2025-12-18 16:40:14,"{""short_code"":""w8N5Cz"",""original_url"":""https://opswise.net/calm/meadow/8""}"
9,9,324,created,2025-12-25 11:22:10,"{""short_code"":""U6KZeE"",""original_url"":""https://seeded.app/harbor/network/9""}"
10,10,256,created,2025-09-08 08:33:49,"{""short_code"":""6ij8c7"",""original_url"":""https://hackstack.io/calm/lagoon/10""}"
11,11,10,created,2025-03-02 13:51:08,"{""short_code"":""aHz34w"",""original_url"":""https://acme.dev/ivory/field/11""}"
12,12,51,created,2025-02-07 20:31:58,"{""short_code"":""r8FuMP"",""original_url"":""https://acme.dev/cobalt/valley/12""}"
13,13,346,created,2025-06-23 09:32:24,"{""short_code"":""9jaBdA"",""original_url"":""https://acme.dev/tidy/lagoon/13""}"
14,14,274,created,2025-01-16 18:04:49,"{""short_code"":""0MpDXL"",""original_url"":""https://acme.dev/opal/anchor/14""}"
15,15,49,created,2025-04-19 13:13:37,"{""short_code"":""yWMdqi"",""original_url"":""https://example.com/forest/kernel/15""}"
16,16,206,created,2025-10-09 21:50:41,"{""short_code"":""y82TBu"",""original_url"":""https://acme.dev/rapid/garden/16""}"
17,17,339,created,2026-01-30 20:22:19,"{""short_code"":""WyCcfd"",""original_url"":""https://acme.dev/silver/yard/17""}"
18,18,177,created,2025-11-30 21:24:09,"{""short_code"":""pnEebX"",""original_url"":""https://acme.dev/urban/river/18""}"
19,19,193,created,2025-05-02 19:42:24,"{""short_code"":""SWjFDV"",""original_url"":""https://seeded.app/dawn/delta/19""}"
20,20,126,created,2025-11-11 09:50:10,"{""short_code"":""W5w3up"",""original_url"":""https://hackstack.io/rapid/quartz/20""}"
21,21,292,created,2025-08-05 16:03:22,"{""short_code"":""Hx9j4B"",""original_url"":""https://acme.dev/silver/field/21""}"
22,22,218,created,2025-12-15 05:06:20,"{""short_code"":""DjP4ua"",""original_url"":""https://opswise.net/gold/valley/22""}"
23,23,229,created,2025-08-28 07:33:02,"{""short_code"":""XTwiSs"",""original_url"":""https://opswise.net/ember/yard/23""}"
24,24,399,created,2025-01-16 18:28:05,"{""short_code"":""33SKC2"",""original_url"":""https://example.com/warm/zenith/24""}"
25,25,399,created,2025-04-18 16:19:26,"{""short_code"":""1H3wBM"",""original_url"":""https://example.com/dawn/window/25""}"
26,26,219,created,2025-06-15 09:31:10,"{""short_code"":""ytYddo"",""original_url"":""https://example.com/warm/meadow/26""}"
27,27,34,created,2025-12-16 15:32:22,"{""short_code"":""rMu9e7"",""original_url"":""https://acme.dev/amber/engine/27""}"
28,28,320,created,2025-08-31 11:50:27,"{""short_code"":""1TMtbG"",""original_url"":""https://opswise.net/calm/meadow/28""}"
29,29,223,created,2025-06-12 10:50:30,"{""short_code"":""ujNivT"",""original_url"":""https://acme.dev/lively/river/29""}"
30,30,235,created,2025-08-24 22:25:11,"{""short_code"":""Pr1Fv2"",""original_url"":""https://relay.cloud/silver/river/30""}"
31,31,138,created,2025-05-13 21:51:04,"{""short_code"":""NgbGL3"",""original_url"":""https://seeded.app/lively/quartz/31""}"
32,32,211,created,2026-02-04 09:32:35,"{""short_code"":""RaA6Oj"",""original_url"":""https://seeded.app/gold/pioneer/32""}"
33,33,234,created,2025-07-19 20:42:21,"{""short_code"":""H0qC3Z"",""original_url"":""https://hackstack.io/calm/meadow/33""}"
34,34,395,created,2025-01-10 12:40:10,"{""short_code"":""JzOkJa"",""original_url"":""https://hackstack.io/gold/engine/34""}"
35,35,276,created,2025-08-01 07:31:50,"{""short_code"":""RGo12r"",""original_url"":""https://acme.dev/silver/canyon/35""}"
36,36,350,created,2026-01-07 19:22:54,"{""short_code"":""Imaj5F"",""original_url"":""https://example.com/cobalt/field/36""}"
37,37,104,created,2025-02-15 09:52:27,"{""short_code"":""dTdUvW"",""original_url"":""https://opswise.net/tidy/yard/37""}"
38,38,270,created,2026-01-15 07:55:19,"{""short_code"":""wGbnhc"",""original_url"":""https://acme.dev/young/orbit/38""}"
39,39,379,created,2025-12-29 10:37:09,"{""short_code"":""ShDpLU"",""original_url"":""https://opswise.net/calm/anchor/39""}"
40,40,14,created,2025-10-04 18:21:37,"{""short_code"":""zkYzX5"",""original_url"":""https://acme.dev/forest/uplink/40""}"
41,41,189,created,2025-05-05 16:41:13,"{""short_code"":""1zbCGA"",""original_url"":""https://relay.cloud/amber/delta/41""}"
42,42,288,created,2025-11-07 23:15:29,"{""short_code"":""oYfXb4"",""original_url"":""https://acme.dev/navy/journey/42""}"
43,43,74,created,2025-05-28 10:12:58,"{""short_code"":""fArwhi"",""original_url"":""https://example.com/dawn/pioneer/43""}"
44,44,323,created,2025-07-03 14:06:58,"{""short_code"":""o0oa4z"",""original_url"":""https://example.com/jade/journey/44""}"
